census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170318316006013,5283.0,4480.0,4698.0,3867.0,3517.0,3331.0,3117.0,3399.0,3261.0,3741.0,4028.0,5103.0,47825.0,6.0
170314503001056,5955.0,5131.0,3978.0,1780.0,1503.0,478.0,374.0,369.0,358.0,811.0,1984.0,5158.0,27879.0,45.0
170318366002027,5871.0,5510.0,3457.0,1897.0,1184.0,611.0,500.0,485.0,472.0,809.0,2339.0,5805.0,28940.0,100.0
170317004022031,3021.0,2588.0,2402.0,1435.0,612.0,443.0,265.0,274.0,178.0,363.0,615.0,1651.0,13847.0,37.0
170318315001010,3546.0,3129.0,2301.0,1134.0,808.0,416.0,410.0,349.0,362.0,460.0,1122.0,3253.0,17290.0,42.0
170316404001037,3097.0,2440.0,2159.0,1253.0,726.0,383.0,325.0,303.0,342.0,369.0,825.0,1967.0,14189.0,45.0
170312421003002,3650.0,3267.0,3118.0,1408.0,791.0,556.0,368.0,307.0,345.0,390.0,638.0,2370.0,17208.0,52.0
170314313013010,11920.0,9480.0,8686.0,4844.0,2669.0,1993.0,1620.0,1731.0,1907.0,2314.0,4151.0,7638.0,58953.0,94.0
170318424002011,9360.0,8812.0,6821.0,4110.0,1599.0,677.0,717.0,607.0,773.0,1378.0,4323.0,10047.0,49224.0,86.0
170317108005001,5546.0,4994.0,3565.0,1988.0,998.0,325.0,313.0,258.0,314.0,571.0,1644.0,4542.0,25058.0,77.0
170311711003011,3528.0,2854.0,2552.0,1488.0,803.0,508.0,366.0,289.0,288.0,399.0,666.0,1799.0,15540.0,33.0
170315302002004,1272.0,1202.0,813.0,451.0,277.0,74.0,91.0,81.0,103.0,179.0,458.0,1223.0,6224.0,38.0
170310207011009,1411.0,1118.0,987.0,569.0,319.0,204.0,135.0,97.0,101.0,155.0,278.0,878.0,6252.0,6.0
170315609001022,3275.0,2527.0,2184.0,1170.0,469.0,289.0,216.0,182.0,205.0,222.0,503.0,1766.0,13008.0,40.0
170316809001000,3288.0,2821.0,2411.0,784.0,467.0,261.0,229.0,224.0,249.0,435.0,1297.0,3974.0,16440.0,72.0
170313007001012,7129.0,6041.0,5874.0,3486.0,1915.0,1248.0,893.0,850.0,884.0,1010.0,1320.0,3375.0,34025.0,218.0
170312421003007,8829.0,7804.0,7688.0,3507.0,1906.0,1303.0,870.0,699.0,720.0,947.0,1648.0,5722.0,41643.0,87.0
170312423001006,5994.0,5498.0,5594.0,2650.0,1461.0,853.0,467.0,360.0,420.0,633.0,1226.0,4399.0,29555.0,71.0
170312433002011,4004.0,3450.0,2907.0,1401.0,823.0,451.0,396.0,321.0,333.0,417.0,942.0,2961.0,18406.0,58.0
170311801003004,3240.0,2683.0,1961.0,921.0,573.0,264.0,270.0,243.0,239.0,342.0,829.0,2604.0,14169.0,47.0
170310301022004,7759.0,6631.0,4607.0,2073.0,1288.0,754.0,653.0,691.0,807.0,1464.0,3605.0,5449.0,35781.0,113.0
170318401001008,3017.0,518.0,3920.0,770.0,474.0,328.0,278.0,300.0,300.0,471.0,1515.0,3020.0,14911.0,53.0
