census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170311507003001,6882.0,6483.0,5851.0,6655.0,7699.0,17882.0,15585.0,24842.0,14425.0,8554.0,10967.0,12626.0,138451.0,49.0
170317104005014,13071.0,13979.0,10518.0,11001.0,12016.0,22711.0,23058.0,15918.0,12535.0,12305.0,16659.0,21463.0,185234.0,52.0
170318401001009,37134.0,32508.0,31830.0,27981.0,31276.0,20604.0,24153.0,36862.0,29473.0,39650.0,33314.0,41293.0,386078.0,27.0
170312434003017,30830.0,28653.0,25115.0,26177.0,28237.0,37512.0,42430.0,41349.0,37279.0,31863.0,32557.0,40221.0,402223.0,91.0
170310406002010,5958.0,5567.0,4270.0,8199.0,7998.0,11510.0,11283.0,8621.0,7870.0,6417.0,10217.0,11195.0,99105.0,59.0
170318343006036,12164.0,10565.0,7387.0,6027.0,9349.0,11252.0,13328.0,7681.0,7428.0,8566.0,11756.0,16987.0,122490.0,43.0
170310315013002,2141.0,1373.0,1248.0,867.0,1380.0,1708.0,1866.0,3590.0,1719.0,5993.0,2696.0,3357.0,27938.0,561.0
170311001002004,4324.0,3195.0,3113.0,3090.0,6055.0,9118.0,7268.0,5695.0,3297.0,3876.0,5812.0,5350.0,60193.0,33.0
170315305033003,6489.0,6448.0,13003.0,12568.0,11714.0,12380.0,17532.0,15566.0,10644.0,10436.0,11597.0,12228.0,140605.0,49.0
170317003013007,17693.0,15234.0,19747.0,17244.0,26957.0,46063.0,48669.0,28981.0,19180.0,17240.0,25169.0,28841.0,311018.0,161.0
170318413004003,13685.0,17318.0,16413.0,13988.0,13496.0,14423.0,28259.0,27553.0,15524.0,13286.0,20895.0,20549.0,215389.0,147.0
170314403003009,12055.0,9451.0,7806.0,6777.0,10156.0,13283.0,17042.0,10849.0,10207.0,10448.0,11017.0,15539.0,134630.0,31.0
170318412001011,26556.0,28143.0,28636.0,27822.0,34662.0,41382.0,56782.0,45202.0,48057.0,31853.0,35326.0,45602.0,450023.0,92.0
170311911002003,3230.0,7368.0,6551.0,4780.0,5755.0,7905.0,9755.0,12074.0,6620.0,5311.0,13978.0,12059.0,95386.0,53.0
170317302022005,7246.0,6358.0,11149.0,8405.0,9922.0,13477.0,15915.0,11804.0,8249.0,10450.0,14879.0,11498.0,129352.0,65.0
170311006001024,6129.0,4791.0,8286.0,6396.0,10865.0,16257.0,16778.0,7987.0,6005.0,6243.0,14795.0,10383.0,114915.0,39.0
